24; [inimigo1, (90, -50)]; [inimigo1, (1350, 500)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; [inimigo1, (1350, 500)]; [inimigo1, (-100, 300)]; 180
25; [inimigo1, (1350, 500)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; 225
26; [inimigo1, (1350, 500)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; 180
27; [inimigo1, (1350, 500)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; 180
28; [inimigo1, (90, -50)]; [inimigo1, (1350, 500)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; [inimigo1, (1350, 500)]; [inimigo1, (-100, 300)]; 180
29; [inimigo1, (90, -50)]; [inimigo1, (1350, 500)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; [inimigo1, (1350, 500)]; [inimigo1, (-100, 300)]; 135
30; [inimigo1, (1350, 500)]; [inimigo1, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; [inimigo1, (-100, 300)]; 180

1; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo4, (200, -50)]; [inimigo5, (1350, 500)]; 140
2; [inimigo1, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigo4, (200, -50)]; [inimigos, (90, -50)]; [inimigos, (1350, 100)]; [inimigo2, (200, -50)]; 205
3; [inimigo4, (200, -50)]; [inimigo1, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigos, (90, -50)]; [inimigo4, (-100, 300)]; [inimigos, (1350, 100)]; 155
4; [inimigos, (90, -50)]; [inimigo4, (200, -50)]; [inimigo1, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigos, (1350, 800)]; [inimigo4, (-100, 300)]; 135
5; [inimigo1, (-100, 300)]; [inimigos, (90, -50)]; [inimigo4, (200, -50)]; [inimigo2, (1350, 100)]; [inimigo2, (90, -50)]; [inimigo5, (200, -50)]; 155
6; [inimigo2, (90, -50)]; [inimigo1, (-100, 300)]; [inimigos, (90, -50)]; [inimigo4, (200, -50)]; [inimigo2, (1350, -50)]; [inimigo4, (90, -50)]; 115
7; [inimigo2, (90, -50)]; [inimigo1, (-100, 300)]; [inimigos, (90, -50)]; [inimigo4, (200, -50)]; [inimigo1, (-100, 300)]; [inimigo2, (90, -50)]; 145
8; [inimigo1, (-100, 300)]; [inimigo2, (90, -50)]; [inimigo1, (-100, 300)]; [inimigos, (90, -50)]; [inimigo1, (-100, 600)]; [inimigo2, (-100, 800)]; 185
