6; [inimigo4, (-100, 300)]; [inimigo1, (-100, 300)]; [inimigo4, (200, -50)]; [inimigos, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo1, (200, -50)]; 40
7; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo1, (-100, 300)]; [inimigo4, (200, -50)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; 145
8; [inimigo1, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (200, -50)]; [inimigo1, (-100, 300)]; [inimigo1, (-100, 300)]; 40
9; [inimigo1, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (200, -50)]; [inimigo1, (-100, 300)]; [inimigo4, (-100, 300)]; 80
10; [inimigo4, (-100, 300)]; [inimigo1, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (200, -50)]; [inimigo4, (-100, 300)]; [inimigo1, (-100, 300)]; 80
11; [inimigo4, (-100, 300)]; [inimigo1, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (200, -50)]; [inimigo4, (-100, 300)]; [inimigo1, (-100, 300)]; 60
12; [inimigo4, (-100, 300)]; [inimigo1, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (200, -50)]; [inimigo4, (-100, 300)]; [inimigo1, (-100, 300)]; 80
13; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo1, (-100, 300)]; [inimigo4, (200, -50)]; [inimigo4, (-100, 300)]; [inimigo3, (-100, 300)]; 140
14; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo1, (-100, 300)]; [inimigo4, (200, -50)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; 80
15; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo1, (-100, 300)]; [inimigo4, (200, -50)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; 100
16; [inimigo4, (200, -50)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo1, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; 80
17; [inimigo4, (200, -50)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo1, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; 80
18; [inimigo4, (-100, 300)]; [inimigo4, (200, -50)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (200, -50)]; [inimigo4, (-100, 300)]; 100
