26; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 120
27; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 180
28; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 180
29; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 180
30; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 240

1; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 180
2; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 360
3; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 240
4; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 180
5; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 180
6; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 300
7; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 240
8; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 240
9; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 180
10; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 180
11; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 180
12; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 240
13; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 300
14; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 300
15; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 300
16; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 240
17; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 240
18; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 180
19; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 120
20; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 180
21; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 240
22; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 240
23; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 180
24; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 180
25; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 240
